title,myrating,avgrating,binding,pages,pubyear,shelf
The Canning Season,0.00,3.81,Paperback,195.00,2003,to-read
Handmade: Creative Focus in the Age of Distraction,0.00,3.89,Paperback,183.00,2018,to-read
"Scott Pilgrim, Volume 1: Scott Pilgrim's Precious Little Life",0.00,4.17,Paperback,168.00,2004,to-read
My Video Game Ate My Homework,0.00,3.58,Paperback,160.00,2020,to-read
The Melancholy Death of Oyster Boy and Other Stories,0.00,4.13,Hardcover,115.00,1997,to-read
The Party Upstairs,0.00,3.17,Hardcover,309.00,2020,to-read
Beach Read,0.00,4.05,Paperback,361.00,2020,to-read
"Black Leopard, Red Wolf",0.00,3.44,Paperback,640.00,2019,to-read
Lovecraft Country,0.00,4.05,ebook,329.00,2016,to-read
Bailey's Café,0.00,4.01,Paperback,240.00,1992,to-read
The Great Nijinsky: God of Dance,0.00,3.87,Hardcover,120.00,2019,to-read
Sourdough,0.00,3.76,Hardcover,259.00,2017,to-read
Gingerbread,0.00,3.06,Paperback,372.00,2019,to-read
The Dinner List,0.00,3.60,ebook,288.00,2018,to-read
Symphony for the City of the Dead: Dmitri Shostakovich and the Siege of Leningrad,0.00,4.34,Hardcover,456.00,2015,to-read
"The Hate U Give (The Hate U Give, #1)",0.00,4.52,Hardcover,444.00,2017,to-read
The Marrow Thieves,0.00,4.06,Paperback,231.00,2017,to-read
"Bringing Down the Duke (A League of Extraordinary Women, #1)",0.00,4.01,Paperback,368.00,2019,to-read
The Bookish Life of Nina Hill,0.00,3.83,ebook,351.00,2019,to-read
Best Russian Short Stories,0.00,4.03,Hardcover,269.00,1917,to-read
A Thousand Beginnings and Endings,0.00,3.76,ebook,336.00,2018,to-read
Toil & Trouble: 15 Tales of Women & Witchcraft,0.00,3.69,Hardcover,405.00,2018,to-read
Time Cat,0.00,3.77,Paperback,211.00,1963,to-read
The Orange Girl,0.00,3.91,Paperback,151.00,2003,to-read
My Sweet Orange Tree,0.00,4.41,Hardcover,208.00,1968,to-read
Japanese Tales of Mystery & Imagination,0.00,4.04,Paperback,222.00,1956,to-read
When My Name Was Keoko,0.00,4.11,Paperback,208.00,2002,to-read
"Persepolis: The Story of a Childhood (Persepolis, #1)",0.00,4.25,Paperback,153.00,2003,to-read
Gold Fame Citrus,0.00,3.29,Hardcover,339.00,2015,to-read
The Vanishing Half,0.00,4.29,Hardcover,343.00,2020,to-read
"Akata Witch (Akata Witch, #1)",0.00,4.06,Hardcover,349.00,2011,to-read
"The Hundred Thousand Kingdoms (Inheritance, #1)",0.00,3.85,Paperback,427.00,2010,to-read
"The Fifth Season (The Broken Earth, #1)",0.00,4.28,Paperback,468.00,2015,to-read
"The Rage of Dragons (The Burning, #1)",0.00,4.38,Hardcover,544.00,2019,to-read
"My Sister, the Serial Killer",0.00,3.74,Hardcover,226.00,2017,to-read
Washington Black,0.00,3.98,Hardcover,334.00,2018,to-read
The Family Upstairs,0.00,3.98,Hardcover,340.00,2019,to-read
"The Killing Moon (Dreamblood, #1)",0.00,3.92,Paperback,418.00,2012,to-read
"Beasts Made of Night (Beasts Made of Night, #1)",0.00,3.28,Hardcover,304.00,2017,to-read
